role,department,employment_type,resource,dept_matches_resource,role_eligible_for_critical,resource_sensitivity,has_relevant_cert,project_assigned,employment_is_contractor,employment_is_intern,contract_duration_days,previously_approved_similar,label
Finance Analyst,Product,Intern,Production Database,0,0,4,0,0,0,1,60,1,DENY
Product Manager,HR,Contractor,HR Database,1,1,3,1,0,1,0,7,0,REVIEW
System Administrator,HR,Employee,Production Database,0,1,4,0,1,0,0,365,0,DENY
Product Manager,IT,Employee,GitHub Project Alpha,0,1,1,0,0,0,0,90,0,DENY
Contractor,Engineering,Intern,HR Database,0,1,3,0,0,0,1,60,0,DENY
Product Manager,Product,Contractor,Development Server,0,1,2,1,1,1,0,7,0,DENY
Contractor,Finance,Contractor,HR Database,0,1,3,1,0,1,0,14,0,DENY
System Administrator,IT,Employee,Finance System,0,1,3,1,1,0,0,30,0,DENY
DevOps Engineer,Finance,Intern,Finance System,1,1,3,1,0,0,1,180,0,REVIEW
DevOps Engineer,Engineering,Employee,Production Database,1,1,4,1,0,0,0,7,0,REVIEW
Contractor,HR,Contractor,Finance System,0,1,3,1,1,1,0,30,0,DENY
Software Developer,IT,Intern,Production Database,1,0,4,0,0,0,1,90,1,DENY
Software Developer,HR,Employee,Development Server,0,1,2,0,0,0,0,365,0,DENY
Product Manager,HR,Intern,GitHub Project Alpha,0,1,1,1,0,0,1,180,0,DENY
HR Specialist,IT,Employee,Admin Panel,1,0,4,0,0,0,0,365,1,DENY
Software Developer,Product,Employee,Development Server,0,1,2,1,0,0,0,7,1,DENY
Software Developer,Engineering,Employee,Development Server,1,1,2,0,0,0,0,7,0,REVIEW
Product Manager,Engineering,Employee,Project Management System,1,1,1,0,1,0,0,60,0,ALLOW
Contractor,Engineering,Employee,HR Database,0,1,3,0,1,0,0,90,0,DENY
Product Manager,Product,Intern,Production Database,0,0,4,1,1,0,1,365,0,DENY
Contractor,Finance,Contractor,GitHub Project Alpha,0,1,1,0,1,1,0,90,1,DENY
HR Specialist,Engineering,Employee,GitHub Project Alpha,1,1,1,0,1,0,0,30,0,ALLOW
Contractor,Finance,Employee,Admin Panel,0,0,4,1,0,0,0,14,0,DENY
Product Manager,Finance,Employee,Project Management System,1,1,1,0,0,0,0,90,0,ALLOW
Software Developer,Finance,Employee,HR Database,0,1,3,1,0,0,0,7,1,DENY
QA Engineer,IT,Contractor,Finance System,0,1,3,0,0,1,0,14,1,DENY
QA Engineer,Finance,Contractor,Production Database,0,0,4,1,0,1,0,90,0,DENY
Finance Analyst,Product,Intern,Admin Panel,0,0,4,1,0,0,1,365,0,DENY
System Administrator,IT,Contractor,Project Management System,1,1,1,1,1,1,0,365,1,ALLOW
Finance Analyst,Finance,Intern,Production Database,0,0,4,0,0,0,1,30,1,DENY
DevOps Engineer,Engineering,Intern,Production Database,1,1,4,0,0,0,1,365,0,REVIEW
Product Manager,Finance,Contractor,Development Server,0,1,2,0,0,1,0,7,0,DENY
