role,department,resource,resource_sensitivity,hour,is_unusual_time,known_device,location_match,role_resource_match,failed_attempts,request_frequency,credential_valid,previous_behavior_score,risk_score,risk_label
Finance Analyst,Product,Production Database,4,7.94,0,1,1,0,0,4.55,1,0.634,33.0,MEDIUM
Product Manager,Engineering,HR Database,3,17.75,0,1,1,0,1,4.74,1,0.759,41.7,MEDIUM
Software Developer,IT,Admin Panel,4,22.62,1,0,0,1,0,9.98,1,0.223,98.0,HIGH
DevOps Engineer,IT,GitHub Project Alpha,1,13.45,0,1,1,0,0,2.93,1,0.72,27.7,LOW
Product Manager,Engineering,HR Database,3,13.44,0,1,1,0,1,4.9,1,0.767,39.9,MEDIUM
QA Engineer,Finance,Production Database,4,23.29,1,0,0,0,3,9.96,1,0.504,100.0,HIGH
Contractor,Engineering,GitHub Project Alpha,1,11.02,0,1,1,1,0,1.42,1,0.867,0.0,LOW
Contractor,HR,Development Server,2,13.42,0,1,1,0,0,1.99,1,0.799,24.3,LOW
System Administrator,IT,Project Management System,1,17.65,0,1,1,1,0,4.93,1,0.752,2.8,LOW
DevOps Engineer,Product,Development Server,2,1.4,1,0,1,0,3,9.42,1,0.191,97.0,HIGH
Software Developer,Finance,Admin Panel,4,18.37,0,1,1,0,0,1.97,1,0.76,29.9,LOW
Product Manager,Finance,Development Server,2,3.6,1,0,0,0,4,3.31,0,0.368,97.2,HIGH
HR Specialist,HR,HR Database,3,8.6,0,1,0,1,0,2.4,1,0.658,32.9,MEDIUM
HR Specialist,Finance,Admin Panel,4,13.71,0,1,0,0,0,0.73,1,0.611,54.1,MEDIUM
DevOps Engineer,HR,HR Database,3,9.17,0,1,1,1,1,1.65,1,0.925,20.1,LOW
Product Manager,Product,Admin Panel,4,17.44,0,1,1,0,0,4.95,1,0.789,29.7,LOW
Finance Analyst,Finance,Admin Panel,4,19.84,0,0,1,0,0,0.51,1,0.735,52.5,MEDIUM
Software Developer,Finance,Finance System,3,15.36,0,1,1,1,0,3.91,1,0.791,7.0,LOW
Finance Analyst,Engineering,Admin Panel,4,16.38,0,1,1,0,0,3.62,1,0.651,30.7,MEDIUM
Contractor,Product,HR Database,3,19.74,0,1,1,0,1,2.74,1,0.92,38.1,MEDIUM
